Date,Code,O,H,L,C,UL,LL,Vo,Va,AdjFactor,AdjO,AdjH,AdjL,AdjC,AdjVo
2024-07-23,1306,2951.5,2960.5,2932.5,2943.0,0,0,1249100.0,0.0,1.0,2951.5,2960.5,2932.5,2943.0,1249100.0
2024-07-24,1306,2924.0,2937.5,2896.5,2897.0,0,0,2029410.0,0.0,1.0,2924.0,2937.5,2896.5,2897.0,2029410.0
2024-07-25,1306,2847.0,2849.0,2808.5,2817.5,0,0,5778230.0,0.0,1.0,2847.0,2849.0,2808.5,2817.5,5778230.0
2024-07-26,1306,2814.5,2831.5,2797.0,2830.0,0,0,2143120.0,0.0,1.0,2814.5,2831.5,2797.0,2830.0,2143120.0
2024-07-29,1306,2842.5,2874.0,2829.0,2863.0,0,0,1610030.0,0.0,1.0,2842.5,2874.0,2829.0,2863.0,1610030.0
2024-07-30,1306,2851.0,2863.0,2836.5,2857.0,0,0,1565060.0,0.0,1.0,2851.0,2863.0,2836.5,2857.0,1565060.0
2024-07-31,1306,2830.5,2906.5,2822.0,2900.5,0,0,5146770.0,0.0,1.0,2830.5,2906.5,2822.0,2900.5,5146770.0
2024-08-01,1306,2867.0,2868.5,2786.0,2806.0,0,0,4647630.0,0.0,1.0,2867.0,2868.5,2786.0,2806.0,4647630.0
2024-08-02,1306,2706.0,2706.0,2631.5,2634.5,0,0,7249280.0,0.0,1.0,2706.0,2706.0,2631.5,2634.5,7249280.0
2024-08-05,1306,2484.5,2568.0,2244.0,2349.5,0,0,8615450.0,0.0,1.0,2484.5,2568.0,2244.0,2349.5,8615450.0
2024-08-06,1306,2549.5,2563.5,2457.5,2491.5,0,0,6870240.0,0.0,1.0,2549.5,2563.5,2457.5,2491.5,6870240.0
2024-08-07,1306,2473.0,2639.5,2458.0,2584.0,0,0,6713680.0,0.0,1.0,2473.0,2639.5,2458.0,2584.0,6713680.0
2024-08-08,1306,2537.5,2601.5,2526.5,2554.0,0,0,5658170.0,0.0,1.0,2537.5,2601.5,2526.5,2554.0,5658170.0
2024-08-09,1306,2604.0,2610.5,2535.5,2581.0,0,0,4220460.0,0.0,1.0,2604.0,2610.5,2535.5,2581.0,4220460.0
2024-08-13,1306,2610.5,2650.5,2608.5,2647.0,0,0,1889300.0,0.0,1.0,2610.5,2650.5,2608.5,2647.0,1889300.0
2024-08-14,1306,2670.0,2698.0,2657.5,2677.0,0,0,2807550.0,0.0,1.0,2670.0,2698.0,2657.5,2677.0,2807550.0
2024-08-15,1306,2684.0,2718.0,2682.5,2697.5,0,0,4225360.0,0.0,1.0,2684.0,2718.0,2682.5,2697.5,4225360.0
2024-08-16,1306,2765.0,2784.0,2745.0,2783.0,0,0,2612240.0,0.0,1.0,2765.0,2784.0,2745.0,2783.0,2612240.0
2024-08-19,1306,2769.5,2783.0,2736.0,2742.0,0,0,2060020.0,0.0,1.0,2769.5,2783.0,2736.0,2742.0,2060020.0
2024-08-20,1306,2771.0,2782.0,2756.0,2770.5,0,0,1998730.0,0.0,1.0,2771.0,2782.0,2756.0,2770.5,1998730.0
2024-08-21,1306,2742.0,2770.0,2739.5,2764.5,0,0,1890640.0,0.0,1.0,2742.0,2770.0,2739.5,2764.5,1890640.0
2024-08-22,1306,2765.0,2778.5,2757.5,2775.0,0,0,1267790.0,0.0,1.0,2765.0,2778.5,2757.5,2775.0,1267790.0
2024-08-23,1306,2776.0,2791.0,2764.0,2789.0,0,0,1239440.0,0.0,1.0,2776.0,2791.0,2764.0,2789.0,1239440.0
