date,score
2026-03-16 00:16,0
2026-03-16 00:21,-2
2026-03-16 00:24,-2
2026-03-16 00:27,-2
2026-03-16 00:29,0
2026-03-16 00:33,0
2026-03-16 00:38,1
2026-03-16 00:44,1
2026-03-16 00:46,1
2026-03-16 00:47,1
2026-03-16 00:49,1
2026-03-16 00:53,0
2026-03-16 00:56,0
2026-03-16 01:01,0
2026-03-16 01:07,0
2026-03-16 01:15,1
2026-03-16 02:12,2
2026-03-16 02:21,2
2026-03-16 02:46,-2
2026-03-16 02:48,1
2026-03-16 08:54,1
2026-03-16 05:32,2
2026-03-16 05:47,1
2026-03-16 14:55,-5
2026-03-16 17:01,-5
2026-03-16 17:05,-5
2026-03-17 09:00,-5
2026-03-18 08:54,-5
2026-03-18 17:42,-5
2026-03-18 18:00,-5
2026-03-19 12:50,-5
2026-03-19 13:16,-5
2026-03-19 13:30,-5
2026-03-19 13:56,-5
2026-03-19 14:03,-5
2026-03-19 14:12,-5
2026-03-19 14:19,-5
2026-03-19 14:26,-5
2026-03-19 14:37,-5
2026-03-19 14:51,-5
2026-03-20 08:57,-5
2026-03-21 08:45,-5
2026-03-22 08:53,-5
2026-03-23 08:54,-5
2026-03-24 08:57,-5
2026-03-25 08:56,-5
2026-03-25 15:13,-5
2026-03-25 15:46,-5
2026-03-25 15:47,-5
2026-03-25 16:08,-5
2026-03-25 17:16,-5
2026-03-25 17:25,-5
2026-03-25 17:31,-5
2026-03-25 17:32,-5
2026-03-25 17:36,-5
2026-03-25 17:39,-5
2026-03-25 17:45,-5
2026-03-25 17:48,-5
